802,108,156,588,461,53,749,147,304,219,1013,322,910,373,1446,206,973,117,3,421,184,32,734,364,98,31,400,740,268,1753,1589,402,466,1199,33,826,1750,943,140,69,455,795,190,1376,517,627,373,73,840,269,1232,101,602,704,473,909,141,105,369,570,1517,404,1061,503,152,213,625,408,1277,800,265,156,370,486,85,374,316,1946,168,416,336,285,1549,484,869,33,1595,2493,153,451,248,535,445,42,796,838,668,657,259,669
808,255,1266,1334,775,2332,1294,221,637,413,1148,648,1506,1758,1558,553,1482,624,564,572,1026,232,1252,1806,899,360,1069,2585,1136,2717,1787,567,716,1551,987,1017,2044,1243,192,514,1232,1235,228,1806,644,676,536,360,1690,320,1766,1020,3185,1421,996,1043,552,667,969,710,1929,1297,1325,1061,465,2051,990,816,1897,841,548,870,1006,867,389,390,825,2677,427,583,925,318,2556,1851,1764,214,1742,3143,3537,1410,335,538,558,589,1285,864,1539,1155,1071,1349
972,557,3265,1503,1702,2447,2475,732,1382,853,1382,1436,1545,2091,2169,957,1858,639,1134,1747,1393,1706,1262,2292,1702,716,1809,2765,1197,3601,1888,603,1129,2381,1017,2224,2142,2148,658,629,1773,1825,438,2233,804,1606,1988,999,1710,435,2448,3121,3318,1556,1564,2580,1092,1049,2160,1876,3328,1950,1986,1075,1172,2271,1178,1542,4031,1495,874,1312,1347,1304,525,586,1225,3775,572,852,1207,454,2803,2102,2303,1785,1766,3447,3696,1733,675,730,1932,1809,1809,1077,1607,1435,1149,1890
1561,1382,3755,1560,1721,2935,3205,746,1393,1242,1403,1492,1955,2901,3869,1964,1894,2112,2846,2047,1599,2262,1940,2448,2083,913,3632,3012,1611,4073,2221,1873,1194,2996,2535,2644,2745,2171,2120,2042,3340,2044,598,2404,855,2294,2995,1264,2674,790,2873,3232,3408,2285,1572,2786,1186,1362,2484,2255,3390,2322,4786,2461,1877,2356,1342,2042,4038,1875,1319,2526,1837,1310,1219,766,2305,3848,1249,1787,1732,728,3576,2828,3299,2377,2860,4052,4136,2180,753,786,2657,2606,2184,2798,1797,1613,1340,2612
2741,1505,4191,2136,2120,2968,3580,2771,2159,1504,1590,1551,2273,3997,4629,3311,2044,2959,3059,2917,1901,2531,3305,2619,2971,1678,3747,3643,3156,4145,2888,1877,2285,3545,2652,2751,3121,2641,2353,2196,3592,2193,1937,2750,1065,3613,3684,1986,2840,1945,2935,3809,3693,2416,2685,2988,1349,1962,2656,2276,3422,3163,5315,2632,2416,2465,1442,2203,4333,2818,2452,2906,2345,1939,1517,1039,2979,3907,1702,1886,2909,781,3698,2883,5432,3545,3413,5677,4531,3442,2366,2838,3295,2773,2422,3232,1943,2322,2834,2771
3290,2783,4743,3070,2239,3560,3689,3293,2311,1516,1750,2492,3394,4520,4719,4489,3177,3578,4785,3940,3421,3103,4718,3030,3125,2169,3965,3750,4452,4512,2920,3159,3549,3609,2855,2788,3806,3069,3734,2518,3822,2221,2322,4027,1811,5045,3778,2641,2963,2941,4349,4793,4437,4036,3967,3310,1616,3456,3028,2403,4771,4197,5701,2652,2417,2534,1804,2805,4412,3064,3137,3388,2685,2292,2198,1520,3404,3910,2042,3108,3594,2827,3811,2899,5729,4189,4194,5730,5389,3769,2456,2992,3945,3837,2950,4671,3425,4138,3376,3520
3707,2917,5478,3683,3258,4132,4531,3988,2878,2165,2076,3373,3460,4695,4886,4678,4768,4551,5237,4995,4554,4052,5161,4296,3755,2260,4601,4572,5285,5049,5189,3441,3937,4926,3638,3857,4809,4483,4331,3880,3893,2290,2518,4353,4434,5616,3810,3717,3500,3677,4599,4929,4494,4724,5333,4935,2310,3782,4715,3996,4951,5414,5939,3711,4492,2779,2048,2822,4729,5215,3266,3389,3518,5146,3505,3121,4255,4044,2483,3717,3709,2848,4166,4494,5731,5362,4910,5841,5504,3859,3083,3537,4067,4493,3283,4802,3899,4579,4075,4593
4375,3565,5619,3749,4590,4917,4774,4254,3064,4500,3022,4005,3978,4889,5187,4962,4946,5119,5269,5272,5426,4441,5362,5690,4871,2877,5032,5048,5389,6478,5624,5395,3975,5502,3690,4862,4893,4955,5650,4127,4242,2800,4169,5267,4881,5676,5447,5682,3892,3699,5070,5309,5121,5353,5539,6076,2626,3814,4744,5164,5356,5544,6134,3805,4792,4550,3822,3769,4928,5364,4614,3843,5585,5621,5152,3416,4911,4266,3751,5196,3723,3441,5218,4613,5778,6223,6170,5923,5996,4682,3781,4084,4366,6081,6211,5162,6091,5339,4590,4652
4544,3878,5770,3993,4956,5949,4785,5594,3593,5111,5924,4846,5048,5580,6616,5137,5527,5236,5423,5404,5560,5247,5670,5860,5642,4344,6051,5568,6329,6613,5627,6183,5713,5517,4453,5255,5163,5925,6166,4740,4256,3136,5780,5996,5575,6163,5888,6369,4842,4178,5104,5460,5595,5518,5602,6405,3039,3820,5483,5350,6435,5632,6204,4183,4986,5030,4294,4688,5033,6134,5471,5209,5794,5717,5474,3720,4992,4844,4180,6021,4714,6323,6365,6006,5825,6289,6284,6539,6294,4924,6060,5165,6164,6278,6285,5264,6189,6045,4909,6193
5016,6131,5875,5971,5302,5987,6451,5697,5351,6061,5971,6118,5440,6541,6665,5768,5767,5412,5803,5720,6072,6641,6207,6645,5966,5087,6657,5746,6680,6657,5931,6298,6064,5524,5653,6267,5950,6675,6287,5447,5222,6530,6335,6512,5769,6315,5928,6664,5898,5510,5957,5856,6032,6608,6453,6663,3512,6056,6191,5646,6592,6098,6629,4923,6108,6151,5998,5637,5821,6241,5961,6673,6253,5998,6039,4997,6371,5546,5763,6683,5223,6638,6614,6310,6300,6395,6437,6659,6486,4995,6462,5581,6480,6601,6645,5842,6246,6672,5107,6451
