148,85,817,1339,456,591,270,548,927,103,825,293,398,9,137,299,1398,713,1066,330,775,518,192,520,251,1220,84,281,817,1472,1555,73,1485,527,2064,499,411,164,427,711,1307,553,250,197,274,45,1375,22,349,423,232,194,21,433,1357,947,259,956,105,664,1175,1480,331,555,190,1248,523,807,1782,912,793,1072,619,69,91,1557,395,652,41,574,150,321,931,2893,1067,234,587,2065,364,471,350,808,1267,411,262,128,322,82,125,558
871,1639,1737,1464,748,1308,1524,613,1170,361,911,513,447,67,1195,2012,2240,1581,2022,1080,1110,839,235,1275,346,2046,300,780,1091,1938,2285,360,2070,1164,3290,770,1409,338,909,2475,2516,1482,290,1249,1120,1584,1378,40,685,471,563,1817,65,1011,2093,2779,785,1999,934,1099,2047,1914,832,561,1577,1610,915,1812,1869,1017,1080,1566,1288,1464,828,4020,547,1075,337,1054,427,466,1986,2912,1882,758,786,3503,379,1003,1043,877,2035,1777,1170,1546,452,528,470,979
1418,1727,2168,1872,800,1458,1661,682,2065,494,1408,1435,1612,444,1351,3928,2258,2184,3278,1649,2250,1716,471,1865,894,3566,1081,945,2729,1996,2436,851,3516,1576,4203,2399,1674,626,937,2880,2752,1697,2507,1610,1537,1588,1606,675,1493,580,835,1974,1437,1469,2242,2876,908,2193,1439,1716,2782,2193,2614,3307,1825,2074,1301,2125,2415,2347,2147,2233,1641,2090,1522,4062,1008,1227,1814,1738,931,2775,2381,3607,1886,2456,1782,4088,493,1924,1710,3439,2510,2172,1248,2057,665,695,1842,1853
2000,3702,3000,2118,2370,1897,2338,1316,2084,719,1832,1506,3016,996,1774,3989,3166,2365,3291,2455,2584,2301,928,2172,1407,3709,1275,2414,3339,4234,2703,1049,3617,2807,4474,2739,2495,674,1807,3452,3947,1934,2623,1982,2038,1868,2756,1206,1681,1694,922,2865,1506,2007,2492,3767,3844,3439,2265,2120,3506,2447,2741,4013,3039,2485,1695,2164,3175,2726,2372,3070,1905,2101,1995,4648,1009,2869,3292,1854,2671,3229,2995,3893,3185,4106,3575,4312,1039,2065,2055,3481,2622,2702,1266,2720,1161,1135,3298,2078
2437,4526,5086,2520,2738,2127,2398,1693,3639,1397,2288,2172,3198,2027,1902,4387,3777,2375,3434,3068,2898,2921,1260,3148,2402,3817,1757,2446,3995,4504,3043,1476,3858,3546,4528,3132,3022,937,2279,4009,4196,2649,2957,2271,2461,2153,3216,1764,2035,1991,1996,3204,2473,2915,3187,4912,4065,3566,2475,3167,3943,3892,3058,4112,3628,2950,1979,2712,4376,4156,2427,3887,2819,2351,3006,5204,1662,3136,4645,2411,2937,3609,3091,4119,3332,5162,4013,4417,2526,3061,2274,3540,3495,3903,1382,2752,1295,1191,3842,3049
2664,4571,5796,2722,3846,2560,2436,1908,3734,1934,3077,2193,3675,4687,3034,4739,3852,2712,4015,5513,3759,3473,2030,4162,4455,4086,2382,3135,4080,4996,4646,1645,4100,4929,4864,3322,3186,2390,3680,4139,4913,2881,3022,2745,3558,3129,3314,2824,4454,2103,4155,4897,2542,3075,3911,5944,4766,5029,2531,3431,4219,4355,3128,4790,4484,3349,2810,2767,4750,5038,2914,5107,3982,2639,3180,5572,2941,4661,5126,3687,3545,4265,3569,4268,4708,5259,4069,4662,3283,3173,2906,3580,3631,4511,1529,3360,2765,2515,4524,3220
2854,5794,5872,4010,4046,2887,3223,2372,5016,2521,4917,2866,3677,4777,3814,5670,4398,3717,4214,5962,4368,3650,2800,4900,4737,5174,3675,3786,5647,5060,4720,2763,5045,4958,5381,5568,3243,2863,3900,5225,5054,5021,4453,3152,3881,3931,4420,3585,4619,2390,4747,5186,5288,3456,4677,6065,4797,5189,3069,4866,4408,5282,3919,5024,4540,3918,3362,2790,4778,5169,3672,5942,4302,3015,4089,5785,3111,5313,5507,4038,4376,4408,3861,4308,4726,5413,4266,5031,3467,3649,3883,3953,4375,5588,1910,3817,3023,2550,5205,4255
3785,5813,5874,5649,4661,3638,3341,5509,5613,3847,5043,3576,5120,4848,3902,6020,4929,4989,5126,6085,4682,3949,3596,5853,5034,5551,5455,4795,6188,5239,4734,4043,5454,5119,5400,5571,3903,3595,4003,5774,6006,5251,5988,3708,5131,5580,4794,4373,4757,2765,5215,5803,6074,4491,6126,6514,5220,5247,3713,5216,4800,5557,5634,5218,5466,4708,3833,3031,5536,5367,4722,6030,4460,4154,4439,5806,3835,5476,5545,5175,4694,4644,4406,4569,5065,5718,4467,5323,3545,3672,4390,4537,4885,5654,4101,4075,6260,2826,5215,4613
4241,6225,6045,6394,5913,4761,6411,6030,5726,5085,6026,4693,5254,5575,4495,6309,5137,5382,5541,6209,4929,5910,3849,6061,5483,5936,5578,5170,6600,6023,4898,5939,6002,6026,5455,6027,4755,4782,5897,6148,6141,5717,6553,4181,5359,5959,4909,4397,5051,4199,5264,6262,6084,5346,6340,6622,6226,5672,4923,5218,5366,5754,6224,6255,5798,5177,5041,4182,5575,6447,6040,6529,4622,4160,4613,6291,4122,5576,6432,5880,5151,5261,6254,4934,5797,6170,5286,5337,4261,3739,4562,4960,5558,5965,4513,6108,6315,3979,6211,5479
4413,6573,6289,6581,6633,4884,6582,6034,6605,6075,6384,4913,5293,5718,4904,6519,5678,6462,5599,6550,6660,6601,4946,6281,5849,6314,5617,5671,6618,6215,6531,6377,6004,6601,6662,6078,6467,5236,6368,6379,6328,6013,6664,6424,6274,6402,4925,4544,5984,5025,5327,6536,6431,5623,6548,6652,6408,6551,5165,6059,6440,6087,6679,6317,6562,5339,6584,5039,6281,6599,6120,6659,5689,5009,5172,6411,5210,6057,6601,6545,5714,5413,6503,5816,5934,6585,5719,6289,4340,4241,5066,4985,5738,6452,4848,6664,6410,6591,6338,6474
